										
1	CITYBANK	23.7	24.2	22.7	23.7	23.2	0.5	3,787	362.7630	15,502,827
2	BRACBANK	68.8	71.3	65	68.8	64.9	3.9	2,646	302.9220	4,471,427
3	BATBC	321.8	331	318.4	321.8	328.6	-6.8	5,198	273.6660	841,930
4	BSC	103.3	107.2	102.7	103.3	107.2	-3.9	4,843	247.3570	2,365,589
5	SQURPHARMA	222.5	223.5	220	222.5	221.5	1	2,161	175.8080	790,394
6	IDLC	40.9	41.9	37.5	40.9	38.1	2.8	2,767	173.0060	4,329,440
7	KBPPWBIL	128.5	130.1	125.3	128.5	129.2	-0.7	2,649	157.4500	1,223,972
8	UTTARABANK	21.9	22	21.5	21.9	21.7	0.2	1,532	155.7610	7,157,789
9	JAMUNABANK	19.5	19.6	18.9	19.5	18.7	0.8	2,123	148.9330	7,712,527
10	BANKASIA	19	19	17.5	19	17.3	1.7	2,238	148.3850	7,978,264
11	EIL	36.9	36.9	33	36.9	33.6	3.3	4,583	139.0050	3,967,918
12	DHAKABANK	12.5	12.6	11.7	12.5	11.9	0.6	1,681	135.3700	11,104,346
13	ROBI	26.8	27.1	26.3	26.8	26.3	0.5	2,377	129.1480	4,822,674
14	ASIATICLAB	47.4	48.2	46.8	47.4	47.3	0.1	1,705	125.7020	2,651,105
15	EBL	26.1	26.5	25.7	26.1	26.2	-0.1	722	121.4060	4,643,003
16	LOVELLO	93.3	94.8	92.3	93.3	91.7	1.6	2,882	120.4850	1,285,130
17	BXPHARMA	105.9	109.5	105.1	105.9	108.8	-2.9	2,517	117.3870	1,098,830
18	ORIONINFU	337.3	348.9	332.6	337.3	345.5	-8.2	2,711	113.3200	332,933
19	LHB	56.6	57.8	56.4	56.6	56.8	-0.2	2,007	111.5700	1,954,590
20	RENATA	530.3	548	526.3	530.3	527.3	3	2,904	101.2610	189,473
21	MTB	13.5	13.5	12.1	13.5	12.3	1.2	1,473	95.4410	7,216,329
22	PRIMEBANK	29	29.3	28.4	29	29	0	567	90.8820	3,132,221
23	IPDC	18.9	19.3	18.2	18.9	18.4	0.5	2,141	90.2100	4,785,501
24	NAVANAPHAR	55	57.6	54.7	55	55.5	-0.5	2,565	87.0830	1,552,668
25	GP	321.1	323.3	319.8	321.1	323.3	-2.2	1,497	86.1700	268,454
26	CENTRALINS	41.3	43	39.1	41.3	39.1	2.2	1,609	76.0500	1,816,299
27	PADMAOIL	202.9	209	199.5	202.9	199.6	3.3	1,780	68.3060	334,048
28	ITC	39.6	40.8	38.6	39.6	40.4	-0.8	1,327	68.0410	1,713,296
29	SPCL	44	45.2	43.7	44	44.7	-0.7	1,414	65.1760	1,471,626
30	LANKABAFIN	17.3	17.4	16.9	17.3	17.1	0.2	1,189	64.4750	3,743,257
31	EASTRNLUB	2	2,934	2,750	2,776.8	2	-51.9	2,305	63.0480	22,228
32	RAHIMAFOOD	123.8	125.5	119	123.8	119.8	4	2,511	61.9030	502,492
33	LINDEBD	992.4	1,015	985.2	992.4	1	-22.3	2,189	61.7960	62,018
34	MIDLANDBNK	24.8	25.5	23.7	24.8	24.8	0	1,377	61.1690	2,437,051
35	SPCERAMICS	21.3	22.4	21.2	21.3	22	-0.7	1,866	59.1430	2,741,181
36	DOMINAGE	12.7	12.9	12.4	12.7	12.6	0.1	1,106	58.7210	4,656,903
